ConstraintID	Violations	Total time	Runtime materialization	Iterations	Derivations	Rules	Demand rules	Total rules	Constrained statements	Constrained qualifiers	Constrained references
Q53869507	0	35975	679	4282	23672				3097	1723	18852
Q21502838	0	8873	453	1459	5242				5242	0	0
Q52004125	0	355	4	127	77				77	0	0
Q52558054	0	2398	43	52	1226				1200	26	0
Q21502410	0	9258	2433	9115	1572				1572	0	0
Q21514353	0	850	62	1096	70				62	8	0
Q21510851	0	19658	276	937	5779				5744	35	0
Q21510859	0	972	46	352	120				108	5	7
Q52712340	0	301	13	4	0				0	0	0
Q21503247	0	13687	1491	5563	2958				2958	0	0
Q21510864	0	12209	19	493	3178				3178	0	0
Q21510855	0	832	46	346	74				74	0	0
Q21510862	0	577	15	103	21				21	0	0
Q21510857	0	565	3	49	18				18	0	0
Q19474404	0	63447	3032	9304	13747				1986	35	11726
Q21510856	0	1081	77	562	46				46	0	0
Q52060874	0	1095	44	13	1				1	0	0
