ConstraintID	Violations	Total time	Runtime materialization	Iterations	Derivations	Rules	Demand rules	Total rules
Q53869507	85	361	44	2564	85	2563	0	2563
Q21502838	2	669	119	1813	2	1812	0	1812
Q52004125	0	196	3	71	0	70	0	70
Q52558054	0	234	11	274	0	273	0	273
Q21502410	0	7485	6622	6096	2274	3021	3021	6042
Q21514353	25	680	293	4366	985	1095	2496	3591
Q21510851	1	970	620	2077	2493	312	1388	1700
Q21510859	0	4975	3503	5635	7524	351	4416	4767
Q52712340	0	258	8	127	5112	1	2	3
Q21503247	70	32261	25691	300913	21327	15736	13076	28812
Q21510864	0	10180	130	1816	6972	853	706	1559
Q21510855	0	3782	99	1091	870	580	464	1044
Q21510862	0	8875	45	563	6972	170	136	306
Q21510857	1	4182	230	1239	866	80	64	144
Q19474404	7	18758	11767	39299	8117	12152	12002	24154
Q21510856	3	2257	148	2011	834	639	426	1065
Q52060874	0	5008	21	132	5550	4	4	8
