ConstraintID	Violations	Total time	Runtime materialization	Iterations	Derivations	Rules	Demand rules	Total rules
Q53869507	642	1243		2564	642	2563	0	2563
Q21502838	9	1808		1811	9	1810	0	1810
Q52004125	15	1009		71	15	70	0	70
Q52558054	2	1045		274	2	273	0	273
Q21502410	12	173180		8917	17417	3000	3000	6000
Q21514353	839	2528		4368	2915	1095	2496	3591
Q21510851	37	3360		2064	6130	310	1379	1689
Q21510859	3	14367		5764	15004	351	4416	4767
Q52712340	0	1274		134	7140	1	2	3
Q21503247	643	572127		1387691	147359	15637	12994	28631
Q21510864	0	7361		3411	8752	855	708	1563
Q21510855	0	4203		1091	870	580	464	1044
Q21510862	0	7413		626	8742	170	136	306
Q21510857	14	5206		2912	1299	75	60	135
Q19474404	67	567007		47567	30639	12066	11922	23988
Q21510856	12	2644		2001	973	636	424	1060
Q52060874	0	4283		139	7310	4	4	8
