ConstraintID	Violations	Total time	Runtime materialization	Iterations	Derivations	Rules	Demand rules	Total rules	Constrained statements	Constrained qualifiers	Constrained references
Q53869507	7567	3513925	17615	6845	2401885	2563	0	2563	326496	174764	1893058
Q21502838	142	801429	35420	3271	529269	1812	0	1812	529127	0	0
Q52004125	45	23701	1176	197	7538	70	0	70	7493	0	0
Q52558054	4	204155	4848	325	123208	273	0	273	121191	1926	87
Q21502410	0	8280332	4848	6118	123208	3038	3038	6076	164775	0	0
Q21514353	10245	168400	5552	5479	34727	1095	2511	3606	12818	3916	0
Q21510851	363	2200702	67264	3332	605788	312	1395	1707	586512	5751	0
Q21510859	8	204427	92845	6255	39152	351	4416	4767	10018	364	508
Q52712340	0	11025	513	186	8194	1	2	3	4	0	0
Q21503247	4810	20570523	513	75572	8194	15793	13120	28913	309474	0	0
Q21510864	3	11355681	45717	29547	334436	853	706	1559	322993	0	0
Q21510855	1	839843	11467	14534	11639	580	464	1044	10516	0	0
Q21510862	0	382037	47211	12631	13033	170	136	306	3771	0	0
Q21510857	142	216543	88352	9722	6106	80	64	144	2219	0	0
